30.875	184.75	-0.237288856741693  0.245245287835595	0.529919897925771 -0.532148865884610	-0.315772339872164  0.356657609551146	0.0120742747911267  0.649566893066352	-0.0642734780132434 -0.908815342098065
27.32	137.64	0.227058149298290 -0.491999306953126	0.436531375980659  0.0583275222347880	-0.0647253611688338 -0.402837586233910	-0.127042550912708 -0.162855023933829	-0.0241328791319490 -0.253449353210315
36.15	301.1166667	0.118435849433951 -0.0932529859774630	-0.0136658282648815  0.0134685789011507	-0.0762535613597204  0.107167935731798	-0.251028649140394  0.233090675733272	0.185985623425292 -0.831903188162829
40.48333333	254.3666667	0.0445233591175113 -0.496978056559718	-0.0429401938298749  0.133918319715331	-0.239140168006353 -0.0632977344036505	0.181362517829719 -0.355994418940666	0.384708391898504  0.438052974937484
38.01666667	418.6166667	0.222431867129265  0.0521415847913652	0.0893599321072976  0.256098710059128	0.267371903018784 -0.424921478048174	0.138534611205100  0.863622337327710	-0.195017370238209 -0.595707044925396
36.7	158.4	0.404747576061518 -0.436576395854229	-0.170436107678390  0.0111217770140923	0.378946419625862 -0.260611852625208	0.425239870543386  0.123107424781506	0.537808280432806 -0.540302690520006
39.6	71.21666667	0.302284766166632  0.265098476893553	-0.0469500470376397  0.0287253363201657	0.412377315323933  0.732762051381371	0.0463582629210162 -0.162935781395633	-0.0594053476522322  0.282847888039303
37.6	381.5333333	-0.00944286163492031 -0.404747158089321	0.151085174354632 -0.255812350212772	-0.122898730079072 -0.520233137935794	-0.487532017357389  0.0210287289759662	-0.128358138880881  0.120965924551093
42.76666667	106.1333333	0.344983335458138 -0.346886553627042	-0.126446241580304  0.00186553773396304	0.0957578729971424 -0.409482353843080	0.286392307742891  0.334603417129718	0.361724934905012 -0.0501850119009777
49.5	341.4285714	0.358628739939792 -0.213479142348099	-0.0623975530964173  0.0115205529391683	0.216378536237392 -0.129986562516285	0.384312816940263  0.196068124154154	0.264361173662990  0.0720862178281522
41.9	467.2	0.411267015706806  0.0867853403141362	0.220518399368522  0.465127699531710	0.553003129747668  0.108878725176195	-0.301988003784681  0.0730446453491764	0.338817137580215  0.528532178218297
44.16666667	213.1666667	0.0101682605011500  0.0576201428398498	-0.209841568936003 -0.200749275821086	0.216386277840204 -0.330133149388844	-0.170524647784511 -0.746580352124944	-0.341482340010789 -0.420457077345109
55.1	442.1	0.0175563358371483 -0.0407129205742477	-0.419011641507062 -0.405076685721105	0.386684145242024 -0.674640329068274	0.472988188012906 -0.225124271811483	-0.0440422846739380  0.330041382419837
65	176.6428571	-0.186829886027860 -0.175635289151541	-0.528277031331015  0.0137917190252126	0.144977836090622 -0.0885843204526060	0.172687484456532  0.0108991633626993	-0.0379483473772313  0.168991438943032
59.275	395.55	-0.0915357683273503 -0.375503175115703	0.181702201987106  0.130374013474650	0.655441471341290 -0.213598971990438	0.106350038576321 -0.263751708289404	-0.466389171676104 -0.690847834255573
70.08333333	38.91666667	-0.297282386232181 -0.139012974069658	-0.348872851676427 -0.0612898089982644	0.253596538387716  0.299831910295465	-0.0652797176954039  0.577081813336423	-0.462216931153384 -0.535276856566235
71.2	270	-0.0532225465977992 -0.265925593233026	0.104786112672343  0.132396405645334	0.0541356716066618  0.00186020532554454	-0.752612148591418  0.218476115317840	-0.0522437979826481 -0.0571539936653940
71	129.1428571	-0.157239837873001 -0.284773072239921	-0.271208851706673 -0.223606741972677	0.355675166346202  0.0387492806735980	0.00978906773095814  0.239224097380706	-0.00963221864012749  0.0537871849355682
80.28571429	414	0.0899917546821627 -0.170265813341710	-0.213889661383241  0.494993281457384	0.438057995097587  0.0586229023556207	0.0760089669002737  0.202222697482820	-0.0943972447322352 -0.447042831240300
80	227.5714286	-0.311846739784084  0.0949142349875433	-0.0880175035721274  0.202223155424319	0.0118207258740382 -0.400995865730337	-0.226167171681031 -0.322640692485109	-0.129001158338182  0.192034826858063
86.125	369.625	0.0940548410579957  0.0314001455957293	-0.120214548595859  0.150748611839996	0.759789468190024  0.310264867106782	-0.0690487400174668  0.0185904584776252	0.172218298149460  0.186329105580692
77.08	302.04	-0.0739790728608723 -0.534798659866414	0.0980311702266195 -0.235978246076512	-0.113682387086697  0.160324383467614	0.279034795097975 -0.0246731382506993	0.0835468471738475 -0.283612538339098
