33.4	151	-0.122949073087577  0.686483415015271	-0.265371230744264 -0.0657224514312966	-0.218769015768618 -0.340476538955690	-0.141594142655847 -0.265700800888852	0.513635521646641  0.361870357285824
36.52857143	240.1571429	0.0940413438599904  0.372052463284760	0.411649472948493 -0.121613700710618	-0.167835538377451 -0.169529739044047	-0.0319056563444166  0.0447065386233325	-0.127661923322782  0.0819042360237764
36.3	448.3	-0.385294488586203 -0.133181990162694	-0.308498593288858 -0.103147197954389	0.340946560804972  0.345030013737931	-0.450339226523579  0.171879404927076	-0.0651477740348726 -0.359358682481102
39.18181818	38.97272727	0.238652548085380 -0.225021552465655	-0.132939417784844 -0.329996865848663	0.142328808444431 -0.0925147418848920	0.233867900606900  0.495769341746547	-0.0316141563028826  0.0259650544097771
32.87142857	286.5571429	-0.710500913379857 -0.156629071941109	0.0497405604243198  0.157208488115718	0.574009775830411  0.147652253290227	-0.299845555628619  0.0664745967543885	-0.512639062541155 -0.0766428980486162
50.48571429	113.1	0.395407946647076 -0.255428555072678	-0.0940487919159491 -0.00424716844252172	0.298043937559301 -0.163030948298961	-0.472111085538022  0.458965129976338	0.228441556921416 -0.179692421606178
53.73214286	325.2857143	0.109076988946140 -0.564710745719028	0.290448630284765 -0.0434771296596318	-0.474966857537816 -0.171121998322516	0.0364597442601807 -0.467915039641155	0.0699236001065172  0.348806200653144
47.28	212.4	0.223625283642406  0.478849366896342	-0.364325555580134  0.467605473802613	0.104288543040622  0.513069884700507	-0.347494127033437 -0.0826734050402521	-0.489639657800603  0.150227186218797
48.31428571	390.1	-0.578540960499490  0.141056666844754	0.0628236758004767 -0.147851650567208	0.204466353734215  0.161980191738648	0.413147533102930  0.218843688508729	0.141518053417911 -0.563283463541939
62.81818182	66.81060606	-0.291688530545725 -0.201227410709753	-0.176711577226828  0.367610185932900	-0.0614360594094491  0.313197589927998	0.370494028059634 -0.621662778847584	0.341891873380032  0.219266598925998
64.3	148.7	-0.208434655735427 -0.372264295143472	-0.110068098597827 -0.319006515713114	0.107535603030023  0.668151504613256	0.307484911953616 -0.0467499469454816	0.409879372248401 -0.487018326877254
61.1	277.3	-0.312988250238171  0.130263575738330	0.159320891527899  0.106849222202448	-0.275456357848891 -0.113332510638784	0.223448832142622 -0.720993198385812	0.402601475844394 -0.0467538827554262
75.08928571	193.0178571	0.0712874864033865  0.599809941922335	-0.161689077986076  0.0108382308241223	-0.346664545831682 -0.0672290379286066	-0.0882622291813700 -0.463448332350096	0.403221815146507 -0.566393479813522
73.57142857	459.5	-0.163757714805791  0.454592857346012	0.352936339912020  0.210875307995775	-0.210429572990021 -0.593066626691599	-0.449438956004313  0.0777875215508214	0.459165325530757  0.0766251048311200
89.04	349.04	-0.0848614623492203 -0.229625270774421	0.522410444786491 -0.108501636878222	0.356366240763048  0.400110079680436	-0.745523213248025 -0.471475535145756	0.434043566336422 -0.447320275562189
