34.91666667	238.9166667	-0.441580080796014  0.237279343571687	-0.464810302425467 -0.259270977502009	0.203726043968783 -0.488522270236879	0.375741773115238  0.0910008912307451	0.273438630862274  0.317598720999971
42.1	462.2	-0.208198098004948 -0.359994552758801	-0.717104138233181  0.145354555306503	-0.0343136362045760  0.355613205232775	0.398244152041239  0.558642955280955	0.445492143600106 -0.291446435415608
55.6	148.7	-0.304191616766467 -0.0288547904191618	0.0236904831960401  0.196452587301651	0.358240147266180  0.102559331310165	-0.607413186140470 -0.639531660849171	-0.317448299502823 -0.0980743878592991
68.4375	204	0.239147669245816  0.337054923750671	-0.129344749669973  0.287660287896400	-0.409053595421025  0.350540230489339	-0.154476918224241 -0.118391926395704	-0.502232503834813 -0.514669460944437
52.58333333	297.5	-0.694124308447265  0.131928798084296	0.0991383078527127 -0.117014393232291	0.174752813382948 -0.378191139032722	-0.102134486740134  0.209684296431439	0.0706699143041694  0.290119065749104
71.41666667	98.91666667	-0.329292954052431  0.263907443040457	-0.150009276188984  0.185877887348812	0.273853951061269 -0.421594341516210	-0.446161251845287 -0.419668691769370	-0.402326444561369  0.567445627823457
75.75	261.3333333	-0.167594474194595  0.180389612968565	0.172579701876939  0.0763379782487169	-0.570905775389828 -0.256533306745630	-0.213091496606462  0.844711190841041	0.770297538239814 -0.108880046993744
69.54	336.92	-0.151614847654047  0.205609675474927	0.742275874201612 -0.266862813153052	0.0210369706560596  0.519068498026694	-0.567101967628436  0.149646833337696	0.232869515311549 -0.686884429099365
85.41666667	459	0.261450099596686 -0.212594933590478	0.444982902915924  0.0310676023014367	-0.343577457579816  0.0583448808979524	0.645671507073392 -0.0875115987182093	-0.110994947693656 -0.249171632343331
80.33333333	410.6666667	-0.157791126142042 -0.237544798344354	0.386638516502062  0.232652465500482	-0.448411678682823 -0.571181822821481	-0.350338894861536 -0.125911995777272	0.368583054898203  0.646968260782105
84.04	364.32	0.148667744290333  0.0303446657628532	-0.567998216180119 -0.0203042091813702	-0.0704601464031415 -0.600251115628735	0.0130428249919061 -0.718692947446128	0.440104255380598 -0.251648929200141
95.71428571	47.78571429	-0.0350666534099164  0.204740307913515	-0.332239992427257  0.181977670963120	-0.0195951498454071  0.0499591476780901	-0.178757232829388 -0.107742881937409	0.424975165930631 -0.352019019960597
80	306.7	-0.361944189868217  0.136207060013273	0.151332255162172  0.0511902092514168	0.134461711310678 -0.338061471434964	0.283792318184743  0.621169679839008	0.0898704913591144  0.353702582337789
105.1928571	157.5880952	-0.116856443223713  0.114055967961333	0.184378135323112 -0.00811028069964368	-0.0784114502321490  0.203859513852156	-0.244686238466634  0.392434537678943	-0.314252738949256 -0.435151757004223
118.1	340.4428571	0.648807182114518  0.291432781862877	0.221114651340312  0.194921092753715	0.445376283462866  0.214859647549113	-0.178212798252783  0.425152937934024	0.478496171206170  0.371812520327668
117	301.8	0.129507704799393  0.575344641943057	-0.209838195134087 -0.0103585552321239	-0.588539339365910 -0.282895849232655	0.0121212629108073 -0.773041845580462	0.446137418023879 -0.647277566729503
118.92	106.34	0.0536752927187753  0.142811256254851	0.459829640626237  0.0209787365070879	-0.0396412357142162  0.138696049411927	0.796674535030353  0.456615546203491	0.229051429370885  0.0363123316225270
129.6	217.6	-0.000999554045118419  0.548355349151917	-0.330522097227175  0.429773818653154	-0.316779976694438  0.255481812238765	-0.0950611817359850 -0.529969738106254	-0.602436738574425 -0.583733070648076
128.8333333	260.9166667	0.00137758515881585  0.575104630872777	0.0422604010451550 -0.0220374928465246	-0.771869215810117 -0.227508501868416	-0.0414103920572589  0.114959091123886	0.0109511917831806 -0.589527374214906
123.45	421.85	-0.287737235378463 -0.334235814860665	-0.130231840880604 -0.302379534233536	-0.117591044385189 -0.0128041019941444	0.113899852712958  0.582761429615460	0.0700868551542456 -0.251615072579545
121	377	-0.00312773676967340 -0.376454397597898	0.0592534970263981 -0.109388415419449	-0.816989395322328 -0.196522327087565	-0.646565177334486  0.309723548004352	-0.209281561852383  0.728404297539370
134.0833333	470.0833333	-0.110921272388704  0.403121460521011	-0.104452856633112  0.0445598433090960	-0.270064111081747  0.153451435451727	-0.736669185514388  0.0858083582419533	-0.545684169767812 -0.571304256582995
157.225	149.0194444	0.0438915872707342  0.354036842053874	-0.0579700606702819  0.248388638789758	0.173727725486682  0.177652564004875	0.264899036785727 -0.597599305447655	-0.787883680484881  0.299091474804053
156.1	67.5	0.448038628632582  0.0580958326432330	-0.209447941663025  0.177076942859750	-0.570486512769874  0.107063582410635	-0.335120063946976  0.216173580714554	-0.892451304027316 -0.116190568907575
155.95	431.1833333	-0.233198613540013 -0.371795159977882	0.0609062151757829  0.399088152340129	-0.0381234656841383 -0.229053063619663	0.374999686779869  0.341637032527703	-0.588719177898834 -0.0642087483536531
165.375	197.9027778	-0.0329465872678308  0.514063763816916	0.286225773979986 -0.275153715300037	-0.254396106845462  0.299981322099685	0.0834555057569654  0.328438590651392	-0.105900086812246 -0.645624844434489
166.775	368.6375	-0.399022465676216 -0.400061957130432	-0.244731737245065 -0.0735590742657533	-0.0843989508832716  0.520419100800415	0.460011637260068  0.193574148866638	0.396867845538006 -0.577554219931791
160.1	316.9	-0.324509189640769 -0.313648705096074	0.615443861410076 -0.157499683040828	0.317120948590445  0.255161932921768	-0.132891011280842 -0.299900157136672	0.291331335343209 -0.742069631136076
172.5	475.3333333	-0.469215654167349  0.247339119043720	0.177123630529496 -0.0154112007639035	0.285404844591159 -0.274373624616335	-0.165716026790162 -0.349095326829333	-0.605483924423300  0.350672830617422
185.64	113.82	-0.270642468852982 -0.114755283491846	-0.0907829540882862 -0.287192160990529	0.727901759371114  0.545337163284177	-0.542346455836669  0.460508901320732	-0.410351437525101 -0.496030936654130
186.2857143	264.8571429	-0.155492735699044  0.129010994984982	0.00720111128404230 -0.319615425649086	-0.0119482779908132  0.0626299213326426	0.254049383107593  0.0510974316814364	-0.625453701679799 -0.244450049404748
191.0333333	410.85	0.247518334130047 -0.0368524758362575	0.102411204556509  0.154416010816884	-0.0237642984257705  0.235534564279951	-0.142152230120643  0.384644765994323	-0.0645907002411695  0.931321110802896
185.7	445.1	-0.242670046472328  0.529277566539924	-0.420640817542991 -0.0375357524473145	-0.457525670850413 -0.146372553309956	-0.0424998841369113 -0.174161870336199	0.381973098981522 -0.485492271135705
210.9333333	179.8833333	0.557554720869779  0.229832449239396	-0.0596643092728827 -0.381441288432012	0.251236712713120  0.503132943378542	-0.135734420171054 -0.325598201469777	0.116081228601733  0.370279097287466
209.76	147.94	0.489311267382906 -0.167782765709565	-0.0164106224526910  0.297037267348123	0.221301234766427 -0.587844544265622	-0.112478049499568 -0.212115922346916	-0.291493527270442 -0.789128524661916
210.8166667	67.83333333	0.226235959713672 -0.0382349272137225	0.552501966020260 -0.00762483519433092	-0.137942213154110  0.181818938800300	0.205090368714212 -0.159383990249328	-0.368540823699192  0.0146395129503656
212.5	368.2	-0.0639716925896698 -0.474760074332408	0.328761822287976  0.195778536288606	-0.345786174251174 -0.392072921246729	0.513861547783910  0.0544300389624683	-0.474661636288879  0.488241316203452
201.2428571	481.9571429	-0.386099717028060  0.192413783261435	-0.239888855559705 -0.0909091837664668	0.00893274672373400 -0.781286304442328	0.801554955771531 -0.0873942936970791	0.426035115141309  0.649299523760659
216.4	320.2	-0.179604672057502 -0.0465633423180592	-0.101140243307164 -0.244718142043798	0.155989586202436 -0.196364949369101	-0.0336115424149265 -0.764528669579081	-0.203261157394269  0.196722254210708
217.2357143	446.5642857	-0.382273296403814 -0.0447672257903040	-0.0227850757664632 -0.295219891439517	-0.145536760891382  0.298081370948421	0.0171952233510720  0.273150703063539	-0.460125234648744 -0.275260667342218
220.6	222.3	-0.0983791748526523  0.146660117878193	-0.354089273603461  0.136466130001885	-0.105584288408843  0.374408503836767	0.0868310148654854  0.628929117158025	-0.00645231877624997 -0.332712582865243
236.85	113.4333333	0.228957633697493  0.304580195042858	-0.284394722336326 -0.0251724368491222	0.0120798325535801  0.588072617438088	0.565661194860925 -0.334444359728125	-0.660314115101532  0.0562153314819638
235.3857143	400.3714286	-0.483513653686870 -0.0443724825893884	-0.300033715788821  0.334978647477718	0.550682028851255  0.408459049193204	0.455796050663184 -0.490880229004826	-0.441010893401538 -0.303946370200033
244.0833333	274.3333333	-0.297493173856027  0.0538489315738459	-0.140014541009912  0.0383129570985946	-0.0639522672263071 -0.352913129064097	0.202892224775692 -0.125101006064851	-0.306183300936247 -0.350836732124019
256.8571429	338	-0.107690957750186 -0.269214232439784	0.212173806384356  0.215734079814210	-0.149600046182590 -0.0419182257069520	-0.410384341455344 -0.214990806847296	-0.356223403870487 -0.195239581527305
249.45	450.15	-0.303172180818751  0.277673240187871	0.601458172908785  0.277572667758159	0.151179970531724 -0.462945362708503	-0.433964762682237  0.185787253188952	0.319910103203841  0.435052155433195
258.5428571	163.2428571	-0.404044829590576  0.146163660395069	-0.366656263212754  0.220086868312680	-0.0263566494896766 -0.389383418995717	0.180205498597243 -0.448038188253761	0.214545551673665  0.107700897470007
257.4166667	220.4166667	-0.548000224378751  0.503360071801201	-0.114539950556152 -0.0792581618919097	-0.254548288990276 -0.675778271901314	0.143091272500130 -0.00696617829536482	0.643794026579868  0.292677240773418
277.75	421.3333333	0.113796636280016 -0.147800270712902	-0.512109357918617 -0.309904675431427	-0.0405598011759519  0.0663571213506066	-0.641693438817075  0.197260162193989	0.225536255389524 -0.185531574518881
265.8166667	78.11666667	-0.221498531002135  0.288576129014469	0.298816542262884 -0.286646059081071	0.486683544287682 -0.0578129900884414	-0.198490843125377  0.573031640221248	-0.686783344419046 -0.164412385384570
275	378.3	-0.0267545560294688 -0.207558789316425	-0.0568206013134342 -0.106918275938980	-0.491051621991180  0.688951505772801	-0.235371393503483 -0.669072334420325	0.466394147963267  0.256059119145414
284.7	47.7	0.284931579365290  0.0634181202191578	-0.424642191648726 -0.0854329846247930	0.465194055408342  0.339071616916304	0.316004292504059  0.324816172672666	0.621735246103305  0.528543238364293
288.7333333	123.7833333	0.404251125625819  0.0400265594380514	0.212570635524966  0.452522730449521	0.623673078882088  0.321238803561776	0.0593786293351713  0.144096557941553	-0.00856027897469847  0.292578094332630
292.25	464	0.156603364416494  0.191951423526131	-0.302881853650071  0.0796935349691432	-0.00677618866327120  0.438058926501478	-0.664789182671201  0.208816533212239	-0.487472272059337 -0.298086752573222
285.1	284.6166667	-0.475440138508782  0.188897752979141	0.0217546359687142  0.0611256340742963	-0.0514218900063921 -0.514643938699274	0.0611839661221153  0.162196367065846	-0.0927707394535891  0.560005766310006
293.1857143	220.8714286	-0.582165173282695  0.259609108691028	0.0340188642152349 -0.243668298357594	0.0507692803472198 -0.223946881920086	0.164704956892186  0.316133757213133	0.00128087050177194  0.268834024923651
300.6	160.9	-0.185232059881755 -0.475040228534235	0.0715260440066252 -0.503952706359308	-0.474948527254108  0.191189144365336	-0.0924286033302994  0.0737228891958317	-0.105236190456533  0.401391262576862
316.5875	332.1125	0.146805325184803 -0.254585243817944	0.350437686906149  0.245842869031801	-0.579647067328894 -0.0282713028517443	0.370797927380948 -0.343241534968485	-0.0126060278050140  0.597493158317826
319.5	82.33333333	0.0372246018411152 -0.0539555576590861	-0.0585738286617213 -0.203615054457550	0.393505734355701 -0.0623664905474622	-0.145994538101696  0.588606097023413	-0.639920853438847  0.382143480267942
317.8333333	382	0.106303225594318 -0.159010949265117	0.0350383288890606  0.0153621329048585	-0.581220984614313  0.434955030237553	0.547996814417786  0.492691010707348	0.338848424380629 -0.00379424534004936
320.3333333	426.25	-0.176632390043081 -0.240561784448918	0.188654943572896  0.142121980287619	-0.328678953893902  0.329135957046757	0.403027715869885  0.290178176557245	0.580554348522851 -0.403145049391464
324.18	37.34	0.334298190206795  0.556840505680206	0.317605664682219 -0.174243713348900	-0.282789748667569  0.154182359642492	0.412325016176853 -0.158232753104097	0.180967381670850 -0.533193904948686
334.7428571	173.4142857	-0.0239391086001255 -0.473099890144382	0.0925672071176813  0.572239189993611	-0.353965809618079 -0.222199094861573	0.623859503217617 -0.00397190818189341	-0.234524136873592  0.216548518158008
317.92	274.74	-0.603905387047218 -0.0778851321898184	-0.274518046399930 -0.0945240086018086	-0.0170042803323793  0.0304554765463615	0.214171693014424 -0.248612766096604	0.603378554641638  0.209342453422465
329.74	223.08	-0.394847475128956  0.000111865913882305	-0.149787518144734 -0.104706560169325	-0.332215161000460  0.564896739008758	0.688807814770758  0.411277347326729	0.494588192813521 -0.579424076410807
329.7	464.8	-0.237635612524613  0.0264082467858384	0.0303655012645372 -0.172280033355522	0.335003706029848  0.382342865208873	0.702866418091549 -0.355695811699811	-0.318624533423581 -0.312270604740451
349.5875	121.425	0.257053781728049 -0.482356958960865	-0.0670741002243807  0.288750767087253	0.0718322270091850 -0.192927266973341	0.225005935846788  0.0687017064068479	-0.136532629065890 -0.00525354525385052
347.95	271.7333333	-0.711491210809730 -0.166225567410921	0.312857752126994 -0.146610264204354	0.552894656995425  0.480011471405936	-0.428989948437400  0.275421067184933	-0.387220765372351 -0.523499054695066
352.88	477.04	-0.348120679655039 -0.468376263418623	0.0222850168236326 -0.321561801356849	0.464151147371980  0.0676506422244468	-0.229128623461468  0.723900339769082	-0.732856138133446 -0.499949765135790
359.5	400.2	0.425747400346620 -0.0947790294627382	0.432607275113442 -0.188805599179005	-0.0302154117816741  0.257509266332054	-0.174344977712282 -0.324731087349518	0.0900002296402774  0.275370184823552
365.5714286	434.0714286	0.0901739687103405 -0.565033300014600	-0.180691217479307 -0.445309075234180	-0.297119534878978  0.123290646390176	-0.626846665288785  0.259221093357294	0.135940968233637  0.274802237153578
365.25	361.0833333	0.0947325323657720  0.263401617935650	0.102693310491922  0.0778208934088067	-0.471336598460516  0.172489157284337	0.114814299598045 -0.0741174686752954	0.458492945639032  0.100207800908072
378.7428571	313.4142857	0.245260236695410 -0.200459487240493	0.134518919491974  0.464007241241668	0.349550935711151 -0.374147667008619	0.252890407100445  0.290819042681895	-0.132380307158306  0.0181407583194325
367.4166667	213.4166667	0.112987272606117  0.234757113347105	0.767599994353130  0.0532471871997048	-0.132309915608826 -0.0179144259606673	0.0862300459576790  0.423884337440377	0.261946816329124 -0.0382550661474516
366.7833333	64.56666667	-0.295096203618277  0.0682815394290097	0.421943973576477  0.0512366967981891	0.717839535074085  0.0459928066361126	0.262397016488668  0.101669903248163	0.116372208121771  0.369410581280185
386.3333333	149.8333333	0.507473259191046  0.297017779981583	0.101675245231613  0.0895262736323367	0.127594214819857  0.393044054028850	0.00806380063423740 -0.380978491802501	-0.165755222146573  0.799366878651230
386	185.3	0.220235555176240  0.334556627122984	-0.606210540042703 -0.193746603293919	-0.270240461087295  0.0444110693703336	-0.405209529056804 -0.0700631861149614	0.434182737744871  0.0493075719106716
385.1	257.1	-0.331380193314725 -0.194837251147662	-0.111635084245066 -0.441570326261290	-0.0622199681361863  0.455869763545006	0.531230509482480  0.362917833238889	0.0934042964125124 -0.170413236879033
387.48	456.44	0.352341751966253 -0.213971681139013	0.0951598163411512  0.216663757906358	0.475802856722857 -0.571658844640912	0.184750254221881 -0.510455805979651	0.0983571358934106 -0.707403609683461
403.8979592	39.75510204	0.128754883408368  0.348571990575437	-0.352894391821282 -0.372765496068187	-0.290319679837786  0.0485562898969381	-0.358587173599882 -0.420080861671632	-0.386778988450032  0.296426781526633
402.1166667	88.98333333	0.153142161962266 -0.669163161550983	-0.0618902974702812  0.184606245130699	-0.417600495974335 -0.402566563546908	0.0757610761687936 -0.0357692355620321	-0.185663913495186  0.231823524238556
398.5	124.6	0.240220643905253  0.206222734974943	-0.459544641907279 -0.198541091843522	0.224743819119638  0.0378043650119388	0.466402073362497  0.000819098912609539	0.490622193978763  0.411948648659115
406	346	0.127253992787223  0.0738450970290228	0.103982705173945  0.234799656844392	0.362681961748449  0.904305113323229	-0.0129587386509365  0.118517289948247	-0.111799567898576  0.449445507487010
417.15	427.5333333	0.148643298953145  0.00931567269237233	-0.350350534812151 -0.304338355988020	0.163838351221781 -0.101876006454942	0.247375354702064  0.129732101950957	0.294394952214346 -0.477441902762549
418.25	282.3333333	-0.0906002370707759  0.0738092793608423	0.107861885710022  0.219340025192542	0.203617392223584 -0.428146090400783	-0.679720149785805  0.371430353925467	0.366899943529000 -0.151232175485927
414.375	383.4375	0.128884909614569 -0.564664308154299	-0.0349851076232028 -0.0612162378379349	-0.633312494256189 -0.0194745974492045	-0.0103481947713285 -0.0837279000246512	0.220579830470997  0.455846404157832
427.8375	226.1125	0.291425948297947 -0.00801552179957161	0.476271298579256 -0.282408644687822	0.478959537749767  0.0462956201338608	0.603573206612246  0.0526369278247247	0.337236535107285 -0.108891000488629
422.25	469.5833333	-0.0177971534812157 -0.0116168739581998	-0.144424706752256  0.287533987525887	0.420509368463367 -0.311236239552288	0.655556707710995 -0.0851437901165901	0.468779992060043  0.328385691660884
424.5	175.75	-0.262703709452119  0.0295514511873351	0.140116533034422 -0.132428812656686	-0.504633567237024  0.0309228404480949	0.0607349782565536 -0.599655866086604	0.919903157446650  0.0614902390763696
429	141.8333333	0.232316414686825 -0.427645788336933	0.0247615868433283  0.0352052382924492	-0.250558776641587 -0.609480682618733	0.171477258422605 -0.0282807095845114	-0.106082662977145 -0.129385863822266
