32.425	389.325	0.0626615588742294 -0.277727816143902	0.0974462725056970  0.155445035859196	0.256030329183395 -0.875341825310246	0.152989837775951 -0.0537823076779201	-0.615391713638070 -0.340386695291133
28.04	78.16	-0.0337801932020233 -0.535515162308658	-0.136504471830903  0.0548595420039748	0.0605000537950195 -0.0347995329812357	-0.153549675704854 -0.351393600643816	-0.115248787174831 -0.490556679762214
29.65	112.2833333	0.163487478360637 -0.120448372669168	0.0986465502145573  0.191579543339503	-0.0631431076668063  0.0277176010764025	-0.124078658829091 -0.251655051246314	-0.0361210111149908 -0.728652143153388
34.17142857	148.0142857	0.139115644091659 -0.176968650659668	-0.147416401214481 -0.270373159127552	-0.0903783084062311  0.214510407469616	-0.302954581618705  0.268693585754482	-0.0387925743351315  0.376181485671026
42.24285714	319.2	0.332564598283189 -0.276734068585294	0.119912310712497 -0.0676059898507825	-0.207655779132673 -0.107150938701786	-0.381786816840785 -0.235947477598563	-0.397618130680018  0.583524866096929
53.92857143	272.0714286	0.302483266836724  0.322563062768439	0.00717662905995110  0.0363187942774601	-0.178495206733610  0.500000127717756	0.0165566182518971 -0.0954112195629230	-0.158054847179914  0.481934959307604
41.41666667	227.5833333	-0.404994085950848 -0.0182678407149429	0.0234117575407303 -0.0238021535217951	-0.0424648092095005 -0.0143991857678274	-0.214538926970507 -0.600444494341474	0.643481962380878  0.170617394788573
50.44	357.28	-0.0333757250867960  0.245101606057191	-0.608946711611326  0.136546000103347	-0.314208784445568  0.414030739545801	0.427100569377192  0.102078872092929	0.196715630019537 -0.512513951733972
53.53095238	23.64285714	0.417493922172617 -0.438094367816339	-0.0981329365623929 -0.0691489620881586	-0.0305472774439873 -0.311765258723068	-0.000834742149647369 -0.365998058113785	-0.0839356869907568 -0.528394215058158
56.5	182.4166667	-0.0916819361379554 -0.285063201659334	0.137949556796364 -0.0578833946365786	-0.0132124083956577  0.414521474715184	-0.0591689615262928  0.162167664019224	-0.182253263329906  0.401445511624775
58.25	50.58333333	0.437790887261732  0.0328165298076067	-0.0462621818385532 -0.148964454444950	0.288453657274656  0.120928032821410	0.203245407524673 -0.122309647202270	0.479288768306363 -0.373203073893930
59.9	81	0.128549252046289 -0.350649167372283	0.226579486013078  0.00657006470934944	0.335799403999017 -0.137945893454749	0.154202029035741  0.484378096019131	0.173248684972887 -0.510491294832952
68.41666667	454.3333333	0.182667548329379 -0.136885915438174	0.0699259116966843 -0.0985518856323976	-0.0285738899706645  0.138460019989603	-0.452488523532285  0.0202441664052486	0.496815960369323 -0.602710826606963
69.03571429	401.6309524	-0.175514491952305 -0.296420577390190	-0.00246215984396494  0.156571876245262	-0.110463977646823 -0.196746303890792	0.00820275249118548 -0.328203339244237	0.482773009347838 -0.0724942882746643
72.78333333	107.4	0.0170373584978591 -0.729452650480269	-0.0409381506024642 -0.00984593671348353	-0.651763667013077  0.181431293434075	-0.116778098966799 -0.0332315155921569	0.0382116207862234  0.491636988642732
77.91666667	208.0833333	0.176483383685801 -0.296966767371601	-0.391667870786237  0.394875916568647	0.0776029132058225 -0.325928000064302	0.412065599841866  0.171480257152745	0.179019918611417 -0.160769149296800
72.7	239.8	0.157431290580806 -0.139909276883394	0.286079918778707 -0.405856271748059	-0.435812071795820 -0.367386251004076	0.542350034297206  0.231682585204877	-0.519642990829249 -0.316775877001050
76.18	138.36	-0.0406985535627966 -0.554872894485691	-0.160824662557140 -0.268606494877167	-0.265629635525618  0.131723765582078	0.186257321937348 -0.0220127555901864	0.115459721601702  0.160651575973142
79.9	349	-0.418018057989662  0.139095325775895	0.296838287076597 -0.558855688047803	0.196241817416223 -0.587350777746189	0.0171594335736130  0.227098851408650	-0.203120236816509  0.242368105242463
87.38095238	30.55952381	-0.186807095056494 -0.0148379251979989	-0.0773834101220651  0.260985212389870	0.512739938420617 -0.103450656736816	-0.356169218700507  0.364308635909454	0.0714634254268895 -0.507684791498266
98.78571429	308.7857143	-0.0232522348052481  0.108784035089969	-0.325216626379113  0.0225334663734723	-0.101762717872920 -0.530338103088240	0.383099855706601 -0.110582481589403	-0.0704874423039568 -0.0905033727887397
93.77142857	66.52857143	-0.257973440518538  0.211855903377599	-0.174450561426752  0.117171163402383	0.447937549946502 -0.106647471153684	0.205158770138020 -0.538847096978111	-0.00456862277787781 -0.109732165211214
101.8571429	261.702381	-0.0199294916705881 -0.0474979947971138	0.109438839077606 -0.321244637288611	0.203270181507292 -0.352227696846741	-0.452755899642729 -0.230739630616525	0.482135516700146  0.360108226536634
96.15	157.3833333	-0.453777277323577 -0.504499303014741	0.192482709112485 -0.0457346284507222	0.410365431098797  0.601649545833983	-0.177263417525601 -0.236348214548335	0.144549958093105 -0.835268397423440
112.7083333	421.5694444	0.185514939553188  0.0389570668120046	0.398294824788823  0.362450550896087	-0.116912081164104  0.0480021553601371	0.0343469337943977  0.413658831521868	0.196067306730335 -0.282651271640591
110.9583333	367.4027778	-0.340027686668419 -0.341397146778385	0.178027108037320  0.209507128709507	0.278372436184793 -0.199670629004011	0.297009778733007 -0.612619634250767	-0.255035652415011 -0.0946754268070187
117.8285714	177.3714286	-0.210138213985813 -0.675915563636180	0.110214400211312  0.131185067343508	-0.101199479247003  0.332922476905327	-0.136120546128742 -0.119284296287993	0.299299955451968 -0.364149102246601
105.3571429	223.6190476	-0.203176009342454  0.0386131928953771	-0.438462763282324  0.249537235480938	-0.331243852559777 -0.683571146594701	0.323944196452322 -0.758303325957045	0.707626197435453 -0.114876450201945
106.5571429	106.7571429	-0.402845450001732 -0.0436002118004523	0.360820460153167  0.138657825137617	0.517333702992195 -0.141433572815450	-0.547390510717762  0.0870804702296380	-0.418790875594225  0.262519042594539
119.0833333	463.0833333	0.0454325225985963 -0.372112017054500	-0.178905379487888 -0.371759854901739	-0.490557028555946 -0.0714630033847955	-0.381684418469427 -0.00264175405333563	0.0731458841565350  0.0572432703543509
111.96	22.06	0.512148466600447  0.410560746213062	0.344859391967608  0.0601495788287271	0.104361424390441  0.316565790312199	0.305574812355958 -0.0610190432865574	0.216773345893459  0.0974244084629880
116.55	46.66666667	0.148451710276147  0.276731382429049	0.0462205595872222 -0.501629351910954	-0.203849964184778  0.336433769652249	0.150371913098719  0.0573795547798968	-0.0103581232889638 -0.0427013794774010
121.84	77.46	0.0608380950816037  0.0240600082979710	0.313290621649310  0.192929934490555	0.595698955904783  0.221348134525625	0.395321769950726  0.720766771902256	0.175494468601531  0.245277416789636
125.6	133.3	-0.187707808564232 -0.0608564231738035	-0.0925048010545527 -0.425226855164943	0.453588486518419 -0.205402075265352	-0.308343913678602 -0.534872750010275	-0.605535977245468  0.180650461114322
